Date,Odometer (km),A⋅h,SoH (%),Hx (%),Fast charges,"Type 1,2 charges"
2021-10-01,48032,51.72,79.08,72.21,49,1732
2021-11-01,48860,51.10,78.13,71.08,50,1772
2021-12-04,49656,50.31,76.92,69.65,50,1821
2022-01-01,50241,50.29,76.90,69.62,50,1849
2022-02-02,51063,49.93,76.34,68.96,51,1888
2022-03-01,51734,49.77,76.10,68.67,51,1926
2022-04-03,52447,49.74,76.06,68.63,51,1968
2022-05-04,53412,49.68,75.97,68.53,53,2016
2022-06-01,54174,49.79,76.13,68.71,54,2062
2022-07-03,54991,49.74,76.05,68.61,54,2116
2022-09-04,56616,49.49,75.68,68.18,59,2215
2022-10-01,57300,49.04,74.98,67.35,60,2252
2022-12-08,59298,48.40,74.00,66.19,61,2361
